Id;Manufacturer;ProductID;LabWareType;Description;ImageLink/URL;UNSPSC;eClass;Vendor;CatalogueID;WellCount;ColumnCount;RowCount;LabwareLength/mm;LabwareWidth/mm;LabwareHeight/mm;Mass/g;LabwareMaterial;SurfaceTreatment;Color;WellVolume/ul;A1Position/(col,row);WellDiameter/mm;WellColDistance/mm;WellRowDistance/mm;WellDepth/mm;WellShape;WellBottomShape;Liddable/bool;Lid/((Manufacturer, ProdID));Applications;AcceptableLids
mtp_96_flat-black-black-fluotrac-600;Greiner;655077;;96-Well F-Bottom Black Fluotrac High-Binding Microplate;;;;;;96;12;8;144.1;95.1;14.22;;;;;340;;;;;10.9;;;;;absorbance, bluewash, cover, deseal, dispense-destination, envision, fluorescence, gel_purify, gel_separate, incubate, luminescence, pipette, seal, spin, stamp;low_evaporation, standard, universal, ultra-clear
conical-15;Greiner;188261;;15mL Conical;;;;;;1;1;1;145.1;96.1;333;;;;;15000;;;;;0;;;;;cover, dispense-source, incubate, provision, spin, transfer, uncover;screw-cap
mtp_96_flat-uv-ps;SPL Life Sciences;33096;;UVMax™ 96-Well Flat Bottom Polystyrene Tissue Culture Treated Plates;;;;;;96;12;8;146.1;97.1;14.4;;;;;400;;;;;11.4;;;;;absorbance, cover, deseal, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, luminescence, magnetic_transfer_pcr, pipette, provision, seal, spin, stamp, uncover;universal, breathable, foil, ultra-clear
micro-2.0;E&K Scientific;280200;;2mL Microcentrifuge tube;;;;;;1;1;1;147.1;98.1;333;;;;;2200;;;;;37.5;;;;;flash_freeze, incubate, maxiprep_destination, miniprep_destination, sanger_sequence_primer, spin, spin;
mtp_96_pcr-fs-clear;Axygen;PCR-96-FS-C;;96-well Polypropylene PCR Microplate, Full Skirt, Clear, Nonsterile;;;;;;96;12;8;148.1;99.1;15.75;;;;;200;;;;;14.6;;;;;liquid_handle, spin, thermocycle, incubate, gel_separate, gel_purify, seal, dispense, dispense-destination, sanger_sequence, bluewash, echo-dest, envision, flash_freeze, image_plate, incubate, magnetic_separate, magnetic_transfer_pcr, miniprep_destination, qrt_thermocycle;universal, ultra-clear, breathable, low_evaporation, foil
mrv-small;unknown;unknown;;Small MRV;;;;;;1;1;1;149.1;100.1;83.35;;;;;2000;;;;;82.25;;;;;agitate, cover, dispense, evaporate, image, incubate, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap
mtp_1536_ps-black-corning-3724;Corning;3724;;1536 well Corning black untreated Flat Bottom Polystyrene;;;;;;1536;48;32;150.1;101.1;10.4;;;;;12.5;;;;;4.8;;;;;absorbance, cover, dispense, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, provision, seal, spectrophotometry, spin, uncover, unseal;standard, universal, low_evaporation, ultra-clear, foil
6-flat-tc;Eppendorf;30720113;;6-Well TC Treated Sterile Plate;;;;;;6;3;2;151.1;102.1;19;;;;;5000;;;;;16.5;;;;;colonize, dispense-destination, envision, image_plate, incubate;standard, universal
hplc-vial;unknown;unknown;;HPLC Vial;;;;;;1;1;1;152.1;103.1;33.73;;;;;2000;;;;;31.4;;;;;agitate, cover, dispense, evaporate, image, incubate, lcms, liquid_handle, measure_mass, provision, spe, spin, uncover;screw-cap
mtp_96_ubottom-clear-tc;Corning;353077;;Falcon 96-Well, Cell Culture-Treated, U-Shaped-Bottom Microplate;;;;;;96;12;8;153.1;104.1;14.6;;;;;320;;;;;10.59;;;;;cover, dispense-destination, incubate, pipette, provision, seal, spin, stamp, uncover, unseal;low_evaporation, standard, universal, ultra-clear, foil
mtp_96_deep-kf;Fisher;22-387-031;;96-Well KingFisher Deepwell Plate V-bottom Polypropylene;;;;;;96;12;8;154.1;105.1;44;;;;;1000;;;;;42.3;;;;;cover, deseal, dispense-destination, image_plate, incubate, magnetic_transfer_deep, pipette, seal, spin, stamp, uncover;standard
mtp_384_flat-white-white-tc;Corning;3570;;384-Well Low Flange White Flat Bottom Polystyrene TC-Treated Microplate;;;;;;384;24;16;155.1;106.1;14.22;;;;;80;;;;;11.43;;;;;absorbance, cover, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, luminescence, pipette, spin, stamp, uncover, seal;standard, universal, foil, ultra-clear
mtp_384_flat-black-black-nbs;Corning;3575;;384-well low flange black flat bottom polystyrene NBS microplate;;;;;;384;24;16;156.1;107.1;14.2;;;;;112;;;;;11.68;;;;;bluewash, cover, deseal, dispense, dispense-destination, dispense-source, echo_dest, fluorescence, incubate, liquid_handle, provision, seal, spectrophotometry, stamp, uncover;universal, standard, ultra-clear, foil
tube-15;Greiner;188261;;15 mL centrifuge tube;;;;;;1;1;1;157.1;108.1;333;;;;;2200;;;;;0;;;;;spin;
