Id;Vendor;CatalogNumber;Description;WellCount;WellDepth[mm];Height[mm];WellVolume[ul];ColumnCount;Application;AcceptableLids;SalePrice
384-pcr;Eppendorf;951020539;384-Well twin.tec PCR Plate;384;9.6;10.6;40;24;bluewash, dispense-destination, echo_dest, envision, flash_freeze, image_plate, incubate, qrt_thermocycle, seal, spin, stamp, thermocycle;ultra-clear, foil;$9.35 
96-10-spot-vplex-m-pro-inflamm1-MSD;Mesoscale;K15048G;96-well 10-spot v-plex mouse pro-inflammatory panel 1 MSD plate;96;11.68;14.35;410;12;bluewash, cover, deseal, dispense-destination, envision, incubate, mesoscale_sectors600, pipette, seal, spin, stamp, uncover;low_evaporation, standard, universal, ultra-clear;$0.00 
single-vbottom-microwell;unknown;unknown;Single-V-Bottom Microwell;1;10.5;14.7;400;1;agitate, evaporate, image, incubate, lcms, liquid_handle, provision;universal;$1.19 
conical-50;Greiner;227270;50mL Conical;1;0;-;50000;1;cover, dispense-source, incubate, provision, spin, transfer, uncover;screw-cap;$1.07 
384-flat-white-white-nbs;Corning;3574;384-Well Low Flange White Flat Bottom Polystyrene NBS Microplate;384;11.43;14.35;80;24;cover, deseal, dispense-destination, echo_dest, envision, image_plate, incubate, luminescence, pipette, seal, spin, stamp, uncover;universal, standard, ultra-clear, foil;$11.80 
384-flat-white-white-optiplate;PerkinElmer;6007290;384-Well White Opaque Microplate;384;10.45;14.4;105;24;bluewash, cover, dispense-destination, echo_dest, envision, flash_freeze, fluorescence, image_plate, incubate, luminescence, maxiprep_destination, maxiprep_source, miniprep_destination, miniprep_source, pipette, sanger_sequence, seal, spin, stamp, uncover;universal, ultra-clear, foil;$8.28 
384-corning-4513-round-lv;Corning;4513;384-well round-bottom low-volume non-binding-surface Corning-4513 plate;384;6.58;14.22;35;24;cover, deseal, dispense-destination, echo_dest, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, seal, spin, stamp, transfer, uncover, unseal;universal, ultra-clear, foil;$78.29 
96-v-kf;Fisher;22-387-030;96-well KingFisher PCR microplate;96;12.9;14.5;200;12;cover, dispense-destination, envision, image_plate, incubate, magnetic_transfer_deep, magnetic_transfer_pcr, pipette, spin, stamp, uncover;standard;$6.31 
chemspeed-96-sealed-pin-rack;Chemspeed;unknown;Chemspeed 96 Pin Rack;96;36;36;9000;12;;;$0.00 
384-corning-4512-round-lv;Corning;4512;384-well round-bottom low-volume non-treated-surface Corning-4512 plate;384;6.58;14.22;35;24;cover, deseal, dispense-destination, echo_dest, fluorescence, image_plate, incubate, liquid_handle, luminescence, pipette, seal, spin, stamp, transfer, uncover, unseal;universal, standard, foil;$78.29 
384-echo;Labcyte;PP-0200;384-Well Echo Qualified Polypropylene Microplate 2.0;384;11.5;14.4;135;24;dispense-destination, echo_dest, echo_source, envision, image_plate, incubate, seal, spin, stamp;universal, foil, ultra-clear;$7.35 
96-flat-clear-costar-3590;Costar;3590;96-well EIA/RIA Clear Flat Bottom Polystyrene High Bind Microplate;96;10.67;14.22;360;12;absorbance, bluewash, cover, deseal, dispense, echo_dest, envision, fluorescence, gel_purify, gel_separate, incubate, liquid_handle, luminescence, pipette, seal, spectrophotometry, spin, stamp, uncover;universal, standard, ultra-clear, foil, low_evaporation, breathable;$0.00 
96-flat-uv;Corning;3635;96-Well Clear Flat Bottom UV-Transparent Microplate;96;10.67;14.22;340;12;absorbance, dispense-destination, envision, fluorescence, image_plate, incubate, luminescence, magnetic_transfer_pcr, spin, stamp;low_evaporation, standard, universal;$16.78 
bottle-250;not_applicable;not_applicable;250mL Bottle;1;0;-;250000;1;cover, dispense-source, incubate, provision, spin, transfer, uncover;screw-cap;$1.01 
nmr-tube-5mm;unknown;unknown;Nuclear Magnetic Resonance Tube 5mm OD;1;103.5;117.2;600;1;cover, dispense, liquid_handle, provision, uncover;screw-cap;$0.00 
res-sw96-hp;Axygen;res-sw96-hp;1-Well Reagent Reservoir with 96-Bottom Troughs, High Profile;1;38.6;43.92;280000;1;cover, dispense-destination, dispense-source, incubate, liquid_handle, uncover;universal;$8.35 
96-flat-white-dc;ThermoFisher;136101;Nunc MicroWell 96-Well, Nunclon Delta-Treated, Flat-Bottom Microplate;96;11.2;14.6;320;12;absorbance, cover, dispense-destination, fluorescence, incubate, liquid_handle, luminescence, pipette, provision, seal, spin, stamp, uncover, unseal;low_evaporation, standard, universal, ultra-clear, foil;$0.00 
384-flatbottom-black-clear-tc;Corning;3764;384-well Black Clear Flat Bottom Tissue Culture Microplate;384;11.55;14.2;90;24;pipette, spin, incubate, cover, stamp, dispense, dispense-destination, echo_dest, provision, uncover, seal, unseal, liquid_handle, absorbance, fluorescence, luminescence, bluewash, spectophotometry;universal, standard;$21.10 
96-4-spot-mMIP3a-MSD;Mesoscale;K152MSD;96-well 4-spot mouse MIP3a MSD plate;96;11.68;14.35;410;12;bluewash, cover, deseal, dispense-destination, envision, incubate, mesoscale_sectors600, pipette, seal, spin, stamp, uncover;low_evaporation, standard, universal, ultra-clear;$0.00 
384-flat-white-white-lv;Corning;3824;384-Well Low Volume White Flat Bottom Polystyrene NBS Microplate;384;9.39;12.19;40;24;absorbance, cover, dispense-destination, echo_dest, envision, fluorescence, image_plate, incubate, luminescence, pipette, spin, stamp, uncover;standard, universal;$15.70 
96-10-spot-uplex-MSD;Mesoscale;K15069L;96-well 10-spot u-plex MSD plate;96;11.68;14.35;410;12;bluewash, cover, deseal, dispense-destination, envision, incubate, mesoscale_sectors600, pipette, seal, spin, stamp, uncover;low_evaporation, standard, universal, ultra-clear;$0.00 
